02290,Espoo,Uusimaa,Helsinki,60.164101,24.713600
08700,Lohja,Uusimaa,Helsinki,60.360901,23.943800
12750,Pilpala,Kanta-Häme,Riihimäki,60.690800,24.338600
50100,Mikkeli,Etelä-Savo,Mikkeli,61.676800,27.306200
02775,Smartpost,Uusimaa,Helsinki,60.164101,24.713600
86170,Yppäri,Pohjois-Pohjanmaa,Raahe,64.468803,24.020300
32760,Suttila,Satakunta,Pori,61.132801,22.723499
52610,Tuukkala,Etelä-Savo,Mikkeli,61.693600,26.723301
61140,Pasto,Etelä-Pohjanmaa,Seinäjoki,62.742100,22.903400
20075,Sampo,Varsinais-Suomi,Turku,60.416698,22.183100
61520,Lehmäjoki,Pohjanmaa,Kyrönmaa,62.975300,22.341801
92650,Laakkola,Pohjois-Pohjanmaa,Haapavesi-Siikalatva,64.328102,25.973801
38360,Sastamala,Pirkanmaa,Lounais-Pirkanmaa,61.416302,22.885700
42140,Juokslahti,Keski-Suomi,Jämsä,61.919399,25.057199
40101,Jyväskylä,Keski-Suomi,Jyväskylä,62.131100,25.647800
62760,Menkijärvi,Etelä-Pohjanmaa,Järviseutu,62.969101,23.909800
03150,Huhmari,Uusimaa,Helsinki,60.408501,24.396799
97850,Ristilä,Lappi,Itä-Lappi,66.151398,28.045300
07700,Koskenkylän Saha,Uusimaa,Loviisa,60.366402,26.240700
07720,Malmgċrd,Uusimaa,Loviisa,60.366402,26.240700
72630,Kuusela,Pohjois-Savo,Ylä-Savo,63.196800,26.315800
69170,Yli-Kannus,Keski-Pohjanmaa,Kokkola,63.925499,23.969601
95100,Kuivaniemi,Pohjois-Pohjanmaa,Oulunkaari,65.476196,25.292299
99130,Sirkka,Lappi,Tunturi-Lappi,67.812897,25.052200
33450,Siivikkala,Pirkanmaa,Tampere,61.840599,23.563900
45371,Valkeala,Kymenlaakso,Kouvola,60.940102,26.772800
54801,Savitaipale,Etelä-Karjala,Lappeenranta,61.184799,27.564199
98120,Kemijärvi,Lappi,Itä-Lappi,66.687897,27.359400
25701,Kemiö,Varsinais-Suomi,Åboland-Turunmaa,59.876301,22.451000
15241,Lahti,Päijät-Häme,Lahti,60.977798,25.682899
40805,Smartpost,Keski-Suomi,Jyväskylä,62.131100,25.647800
60150,Seinäjoki,Etelä-Pohjanmaa,Seinäjoki,62.742100,22.903400
01201,Vantaa,Uusimaa,Helsinki,60.313099,24.950701
