97219 CEDEX,Fort-de-France,Martinique,Martinique,14.608900,-61.073299
97247 CEDEX,Fort-de-France,Martinique,Martinique,14.608900,-61.073299
97251 CEDEX,Fort-de-France,Martinique,Martinique,14.608900,-61.073299
97252 CEDEX,Fort-de-France,Martinique,Martinique,14.608900,-61.073299
97277 CEDEX,Schœlcher,Martinique,Martinique,14.617700,-61.098999
97278 CEDEX,Schœlcher,Martinique,Martinique,14.617700,-61.098999
97216,Ajoupa-Bouillon,Martinique,Martinique,14.816700,-61.116699
97218,Macouba,Martinique,Martinique,14.868900,-61.156898
97242 CEDEX,Fort-de-France,Martinique,Martinique,14.608900,-61.073299
97246 CEDEX,Fort-de-France,Martinique,Martinique,14.608900,-61.073299
97284 CEDEX 2,Le Lamentin,Martinique,Martinique,14.608000,-61.009300
97261 CEDEX,Fort-de-France,Martinique,Martinique,14.608900,-61.073299
97274 CEDEX,Schœlcher,Martinique,Martinique,14.617700,-61.098999
97206 CEDEX,Fort-de-France,Martinique,Martinique,14.608900,-61.073299
97217,Les Anses-d'Arlet,Martinique,Martinique,14.483300,-61.083302
97231,Le Robert,Martinique,Martinique,14.677500,-60.942299
97265 CEDEX,Fort-de-France,Martinique,Martinique,14.608900,-61.073299
97269 CEDEX,Fort-de-France,Martinique,Martinique,14.608900,-61.073299
97270,Saint-Esprit,Martinique,Martinique,14.550000,-60.933300
97272 CEDEX,Schœlcher,Martinique,Martinique,14.617700,-61.098999
97275 CEDEX,Schœlcher,Martinique,Martinique,14.617700,-61.098999
97290,Le Marin,Martinique,Martinique,14.472100,-60.869701
97296 CEDEX 2,Le Lamentin,Martinique,Martinique,14.608000,-61.009300
97212,Saint-Joseph,Martinique,Martinique,14.667900,-61.045601
97227,Sainte-Anne,Martinique,Martinique,14.433100,-60.881100
97260,Le Morne-Rouge,Martinique,Martinique,14.766700,-61.133301
97271 CEDEX,Schœlcher,Martinique,Martinique,14.617700,-61.098999
97294 CEDEX 2,Le Lamentin,Martinique,Martinique,14.608000,-61.009300
97298 CEDEX 2,Le Lamentin,Martinique,Martinique,14.608000,-61.009300
97214,Le Lorrain,Martinique,Martinique,14.832900,-61.056702
97230,Sainte-Marie,Martinique,Martinique,14.783900,-60.992699
