L1T,Ajax Northwest,Ontario,,43.884300,-79.053398
L5T,Mississauga (Courtney Park / East Gateway),Ontario,,43.670502,-79.647797
G4S,Sept-Îles Northwest,Quebec,,50.271301,-66.375099
J4G,Longueuil North,Quebec,,45.567902,-73.476097
K6V,Brockville,Ontario,,44.657299,-75.714600
K8N,Belleville East,Ontario,,44.173500,-77.368401
R1B,Lockport,Manitoba,,50.084000,-96.935303
K1C,Gloucester (West Orleans),Ontario,,45.445099,-75.548302
T7E,Edson,Alberta,,53.583401,-116.435600
V9Y,Port Alberni,British Columbia,,49.241299,-124.802803
J9H,Aylmer South,Quebec,,45.393200,-75.828796
E2K,Saint John North,New Brunswick,,45.305302,-66.080803
K4A,Orleans (Fallingbrook),Ontario,,45.469700,-75.471497
M2H,North York (Hillcrest Village),Ontario,,43.801498,-79.357697
P2A,Parry Sound,Ontario,,45.350101,-80.032997
G1Y,Cap-Rouge,Quebec,,46.750702,-71.356201
J9Z,La Sarre,Quebec,,48.800201,-79.199600
T2B,Calgary (Forest Lawn / Dover / Erin Woods),Alberta,,51.020901,-113.981003
V1Z,Kelowna West,British Columbia,,49.862499,-119.583298
L4X,Mississauga (East Applewood / East Dixie / NE Lakeview),Ontario,,43.617802,-79.578598
M1C,Scarborough (Rouge Hill / Port Union / Highland Creek),Ontario,,43.787800,-79.156403
M9P,Etobicoke (Westmount),Ontario,,43.694901,-79.532303
P6C,Sault Ste. Marie North,Ontario,,46.535301,-84.373199
G0B,Cap-aux-Meules,Quebec,,47.450100,-72.991302
G2E,L'Ancienne- Lorette Northeast,Quebec,,46.808300,-71.360497
T8E,Sherwood Park Central,Alberta,,53.522499,-113.102203
B2V,Dartmouth Morris Lake,Nova Scotia,,44.652901,-63.477699
H2A,Saint-Michel East,Quebec,,45.561798,-73.598999
B0L,Isthmus of Chignecto (River Hébert),Nova Scotia,,45.690800,-64.364098
K1A,Government of Canada Ottawa and Gatineau offices,Ontario,,45.420700,-75.702301
M4S,Central Toronto (Davisville),Ontario,,43.702000,-79.385300
N5W,London East (SW Argyle / Hamilton Road),Ontario,,42.985600,-81.182098
N7T,Sarnia Southwest,Ontario,,42.951900,-82.331398
G0L,Bas-St-Laurent- Ouest (Trois-Pistoles),Quebec,,47.713600,-69.165802
V4P,Surrey South,British Columbia,,49.056099,-122.830200
E8K,Beresford,New Brunswick,,47.691299,-65.698898
H2N,Ahuntsic Southeast,Quebec,,45.539398,-73.651299
J3T,Nicolet,Quebec,,46.216801,-72.615799
R2H,Winnipeg (St. Boniface NW),Manitoba,,49.884602,-97.118599
L8W,Hamilton (West Albion Falls / Hannon / Rymal / Trenholme / Quinndale / Templemead / Broughton / Eleanor / Randall / Rushdale / Butler / East Chappel),Ontario,,43.195801,-79.845802
G0Z,Centre-du- Québec-Nord (Daveluyville),Quebec,,46.179001,-72.156898
H3Y,Westmount West,Quebec,,45.487598,-73.604500
T5E,Edmonton (West Londonderry / East Calder),Alberta,,53.735802,-113.452400
V8Z,Saanich Central,British Columbia,,48.499298,-123.400299
V5S,Vancouver (Killarney),British Columbia,,49.217499,-123.038002
L1V,Pickering Southwest,Ontario,,43.849400,-79.120003
M4A,North York (Sweeney Park / Wigmore Park),Ontario,,43.727600,-79.314796
P7E,Thunder Bay South Central,Ontario,,48.368401,-89.283997
H2H,Plateau Mont-Royal North,Quebec,,45.537399,-73.573502
H5A,Place Bonaventure,Quebec,,45.499199,-73.564598
T6K,Edmonton (West Mill Woods),Alberta,,53.460899,-113.451897
T8X,Grande Prairie East,Alberta,,55.183399,-118.745697
J1E,Sherbrooke Northeast,Quebec,,45.423100,-71.872299
E8R,Paquetville,New Brunswick,,47.638302,-65.170898
N2A,Kitchener East,Ontario,,43.441299,-80.424599
H1N,Mercier Southeast,Quebec,,45.577900,-73.530403
J9X,Rouyn-Noranda South,Quebec,,48.313702,-78.965500
V2Y,Langley Township Northwest,British Columbia,,49.128502,-122.623596
R3M,Winnipeg (River Heights Central),Manitoba,,49.862499,-97.166496
N7V,Sarnia Northwest,Ontario,,42.999802,-82.392601
G7S,Jonquière Northeast,Quebec,,48.429401,-71.177399
L1N,Whitby Southeast,Ontario,,43.872101,-78.927299
L9B,Hamilton (Barnstown / West Chappel / Allison / Ryckmans / Mewburn / Sheldon / Falkirk / Carpenter / Kennedy / Southwest Outskirts),Ontario,,43.205502,-79.900398
A0A,Southeastern Avalon Peninsula (Ferryland),Newfoundland and Labrador,,47.219501,-53.144798
B4E,Lower Sackville West,Nova Scotia,,44.816299,-63.738701
M8X,Etobicoke (The Kingsway / Montgomery Road / Old Mill North),Ontario,,43.651798,-79.507599
P0V,Northwestern Ontario (Red Lake),Ontario,,52.964802,-90.150497
