40-818,Katowice,Śląskie,Katowice,50.266701,19.016701
50-259,Wrocław,Dolnośląskie,Wrocław,51.099998,17.033300
51-115,Wrocław,Dolnośląskie,Wrocław,51.099998,17.033300
61-829,Poznań,Wielkopolskie,Poznań,52.416698,16.966700
02-644,Warszawa,Mazowieckie,Warszawa,52.250000,21.000000
31-970,Kraków,Małopolskie,Kraków,50.083302,19.916700
41-949,Piekary Śląskie,Śląskie,Piekary Śląskie,50.400002,18.950001
53-616,Wrocław,Dolnośląskie,Wrocław,51.099998,17.033300
54-608,Wrocław,Dolnośląskie,Wrocław,51.099998,17.033300
75-542,Koszalin,Zachodniopomorskie,Koszalin,54.200001,16.183300
80-294,Gdańsk,Pomorskie,Gdańsk,54.349998,18.666700
03-725,Warszawa,Mazowieckie,Warszawa,52.250000,21.000000
40-386,Katowice,Śląskie,Katowice,50.266701,19.016701
31-104,Kraków,Małopolskie,Kraków,50.083302,19.916700
40-597,Katowice,Śląskie,Katowice,50.266701,19.016701
50-131,Wrocław,Dolnośląskie,Wrocław,51.099998,17.033300
02-931,Warszawa,Mazowieckie,Warszawa,52.250000,21.000000
20-381,Lublin,Lubelskie,Lublin,51.250000,22.566700
20-509,Lublin,Lubelskie,Lublin,51.250000,22.566700
28-366,Małogoszcz,Świętokrzyskie,jędrzejowski,50.816700,20.283300
30-078,Kraków,Małopolskie,Kraków,50.083302,19.916700
60-824,Poznań,Wielkopolskie,Poznań,52.416698,16.966700
65-654,Zielona Góra,Lubuskie,Zielona Góra,51.933300,15.500000
90-329,Łódź,Łódzkie,Łódź,51.750000,19.466700
03-924,Warszawa,Mazowieckie,Warszawa,52.250000,21.000000
10-535,Olsztyn,Warmińsko-Mazurskie,Olsztyn,53.783298,20.483299
93-201,Łódź,Łódzkie,Łódź,51.750000,19.466700
93-503,Łódź,Łódzkie,Łódź,51.750000,19.466700
71-046,Szczecin,Zachodniopomorskie,Szczecin,53.416698,14.583300
75-039,Koszalin,Zachodniopomorskie,Koszalin,54.200001,16.183300
91-527,Łódź,Łódzkie,Łódź,51.750000,19.466700
25-314,Kielce,Świętokrzyskie,Kielce,50.833302,20.666700
45-046,Opole,Opolskie,Opole,50.666698,17.950001
81-520,Gdynia,Pomorskie,Gdynia,54.500000,18.549999
51-607,Wrocław,Dolnośląskie,Wrocław,51.099998,17.033300
78-120,Gościno,Zachodniopomorskie,kołobrzeski,54.049999,15.650000
91-225,Łódź,Łódzkie,Łódź,51.750000,19.466700
31-985,Kraków,Małopolskie,Kraków,50.083302,19.916700
66-627,Bobrowice*,Lubuskie,krośnieński,51.950001,14.716700
81-323,Gdynia,Pomorskie,Gdynia,54.500000,18.549999
20-320,Lublin,Lubelskie,Lublin,51.250000,22.566700
