MD-6712,Bascalia,Cimislia,,46.308300,28.784401
MD-3539,Neculaieuca,Orhei,,47.360298,28.692200
MD-4241,Volintiri,Stefan-Voda,,46.426701,29.605801
MD-5317,Gavanoasa,Cahul,,45.765598,28.383301
MD-5430,Pripiceni-Razesi,Rezina,,47.685799,28.763100
MD-6427,Grozesti,Nisporeni,,46.998600,28.079399
MD-2000,Chisinau,Mun.Chisinau,,47.005600,28.857500
MD-4812,Baltata,Criuleni,,47.051399,29.047800
MD-4933,Moara Domneasca,Glodeni,,47.622799,27.416700
MD-4221,Gradinita,Causeni,,46.653099,29.584200
MD-5813,Brinzenii Vechi,Telenesti,,47.658298,28.472500
MD-7727,Razeni 1,Ialoveni,,46.746101,28.961700
MD-3024,Hristici,Soroca,,48.120800,28.183901
MD-5416,Echimauti,Rezina,,47.694199,28.900299
MD-5522,Lenin,Ribnita Tr.,,47.665600,29.190300
MD-5830,Saratenii Vechi,Telenesti,,47.526100,28.553101
MD-6827,Suruceni,Ialoveni,,46.982498,28.668600
MD-7135,Valcinet,Ocnita,,48.445599,27.733900
MD-4236,Stefanesti,Stefan-Voda,,46.445801,29.687799
MD-4636,Parcova,Edinet,,48.153099,27.403900
MD-6101,Ceadir-Lunga 1,Comrat,,46.055000,28.830299
MD-6532,Socoleni,Anenii Noi,,46.910000,29.190001
MD-6619,Hrusca,Camenca Tr.,,48.112499,28.571699
MD-5817,Cisla,Telenesti,,47.494701,28.226900
MD-3052,Cremenciug,Soroca,,48.276901,28.085300
MD-4012,India,Grigoriopol Tr.,,47.046101,29.387199
MD-4225,Olanesti 1,Stefan-Voda,,46.495602,29.918100
MD-5032,Mihailovca,Floresti,,47.801701,28.262501
MD-5112,Baraboi,Donduseni,,48.085800,27.617500
MD-7423,Mirnoe,Taraclia,,45.737499,28.581100
MD-3431,Lapusna,Hincesti,,46.884201,28.411900
MD-3437,Miresti,Hincesti,,46.969700,28.254999
MD-3645,Semeni,Ungheni,,47.268600,27.751900
MD-7218,Cusmirca,Soldanesti,,47.906399,28.705299
MD-7402,Taraclia 2,Taraclia,,45.900002,28.668900
MD-7335,Stoianovca,Cantemir,,46.259201,28.164400
MD-3617,Cetireni,Ungheni,,47.224201,27.903299
MD-3640,Petresti Loc.C.F.,Ungheni,,47.306702,27.745300
MD-5834,Tintareni,Telenesti,,47.570301,28.562500
MD-6602,Camenca 2,Camenca Tr.,,48.031898,28.697800
MD-6620,Iantarnoe,Camenca Tr.,,47.902802,28.836700
MD-3512,Slobozia-Hodorogea,Orhei,,47.508301,28.888599
MD-4732,Marcauti,Briceni,,48.313900,27.226101
MD-4820,Valea Colonitei,Criuleni,,47.009998,28.986700
MD-6113,Cazaclia,Comrat,,46.010300,28.662800
MD-6415,Bolduresti,Nisporeni,,47.135300,28.059700
MD-5102,Donduseni 2,Donduseni,,48.242699,27.610100
MD-6322,Orac,Leova,,46.668301,28.463100
MD-6831,Zimbreni,Ialoveni,,46.836899,28.847500
MD-7316,Tarancuta,Cantemir,,46.158901,28.468100
MD-4829,Magdacesti,Criuleni,,47.133900,28.825600
MD-5351,Cismichioi,Comrat,,45.544399,28.382799
MD-6441,Zberoaia,Nisporeni,,46.968601,28.106899
MD-6630,Severinovca,Camenca Tr.,,48.066399,28.725000
MD-3620,Curtoaia,Ungheni,,47.392799,28.104700
MD-4129,Selemet,Cimislia,,46.577801,28.926399
MD-5219,Lazo,Lazo,,47.889198,27.924999
MD-5638,Saptebani,Riscani,,47.897202,27.351700
MD-5727,Tirnauca,Slobozia Tr.,,46.811401,29.550600
MD-5214,Cotova,Drochia,,48.163101,27.951099
MD-5218,Hasnasenii Noi,Drochia,,47.855598,27.907200
MD-6333,Troita,Leova,,46.564999,28.466101
MD-3422,Cotul Morii,Hincesti,,46.869701,28.118900
MD-3517,Bulaiesti,Orhei,,47.476898,28.978600
MD-3612,Lidovca,Ungheni,,47.278599,27.894400
MD-4622,Chiurt,Edinet,,48.059399,27.341101
MD-4739,Tetcani,Briceni,,48.181702,26.975599
MD-6717,Troitcoe,Cimislia,,46.512798,29.028099
MD-3031,Racovat,Soroca,,48.082500,28.406099
MD-3401,Hincesti,Hincesti,,46.825802,28.593599
MD-3634,Manoilesti,Ungheni,,47.236698,27.883101
MD-4801,Criuleni,Criuleni,,47.214401,29.161400
MD-6423,Ciutesti,Nisporeni,,47.175800,28.123899
MD-3738,Zamciogi,Straseni,,47.204399,28.723301
MD-4320,Opaci,Causeni,,46.579700,29.350000
MD-4573,Dorotcaia,Dubasari Cr.,,47.172199,29.202801
MD-5135,Slobozia-Noua,Soroca,,48.258900,27.980000
MD-5837,Zgardesti,Telenesti,,47.531399,28.194401
MD-3533,Izvoare,Orhei,,47.551701,28.957199
MD-3650,Untesti,Ungheni,,47.243599,27.822800
MD-5822,Inesti,Telenesti,,47.502800,28.398100
MD-6529,Puhaceni,Anenii Noi,,47.088902,29.346701
MD-3004,Soroca 4,Soroca,,48.155800,28.297501
